year,target,foundation,target_missing_count,foundation_missing_count,target_missing_words,foundation_missing_words
1873,effort,care_vic,4,180,"['hardwork', 'travail', 'perseverance', 'persistence']","['tormenting', 'mistreated', 'neediness', 'injuring', 'victimize', 'anguished', 'annihilator', 'harasser', 'assassins', 'brutalizes', 'genocides', 'victimizes', 'bullying', 'fatality', 'vulnerability', 'fighters', 'malevolent', 'victimizing', 'unhelpful', 'killers', 'harmfulness', 'victimizers', 'manhandle', 'exploiting', 'crier', 'molester', 'brutalisation', 'assaulting', 'exploit', 'rapes', 'annihilated', 'achingly', 'sufferer', 'abuser', 'punchers', 'tormenter', 'exploitation', 'discomfort', 'smite', 'tortures', 'needier', 'fighter', 'afflictions', 'kills', 'paining', 'distressingly', 'ravaged', 'hungered', 'assaulters', 'anguishes', 'tormentor', 'bullyboy', 'molesters', 'agonizingly', 'puncher', 'uncaringly', 'carnage', 'brutalizing', 'punch', 'rapist', 'fatalities', 'sufferers', 'cruelness', 'endangering', 'bully', 'torturing', 'molest', 'damager', 'mistreatment', 'aching', 'harming', 'torturers', 'exploited', 'stabbers', 'rape', 'brutality', 'maltreating', 'maltreat', 'brutalize', 'wounding', 'hungering', 'mistreating', 'injurers', 'raped', 'hungers', 'maltreated', 'uncompassionate', 'assassination', 'brutalise', 'tribulations', 'sorrows', 'inhospitality', 'stabbing', 'tormenters', 'assaulter', 'brutalization', 'harms', 'cries', 'assassinating', 'harassment', 'anguishing', 'destroyers', 'raping', 'tormented', 'injurer', 'exploiter', 'stabbed', 'harmed', 'exploiters', 'harass', 'molested', 'smothering', 'killer', 'attackers', 'torturer', 'maltreatment', 'painfulness', 'ache', 'punches', 'discomforted', 'brutalized', 'manhandles', 'inhuman', 'ached', 'harassers', 'persecutes', 'torment', 'victimises', 'stabber', 'victimizer', 'tribulation', 'bullies', 'attacker', 'afflict', 'unhelpfulness', 'bullied', 'injures', 'unmerciful', 'assassinations', 'genocidal', 'victimization', 'smothers', 'harsher', 'uncaring', 'smothered', 'ravage', 'molests', 'assassinates', 'molesting', 'agonize', 'discomforts', 'assassinated', 'mistreat', 'killing', 'harmful', 'harassing', 'punching', 'threateningly', 'brutalises', 'torturous', 'murderess', 'assassin', 'affliction', 'harasses', 'mistreats', 'ravaging', 'exploits', 'annihilates', 'destroyer', 'anguish', 'annihilation', 'punched', 'smother', 'rapists', 'malevolence', 'coldhearted', 'genocide', 'abusers', 'discomforting', 'aches']"
1873,effort,care_vir,4,111,"['hardwork', 'travail', 'perseverance', 'persistence']","['empathising', 'empathize', 'motherly', 'safekeeping', 'reliever', 'healthiness', 'helps', 'protectiveness', 'childbearing', 'consoled', 'caregiver', 'helpfulness', 'hugger', 'rescuers', 'hugged', 'console', 'vulnerability', 'healer', 'helpful', 'consoling', 'beneficence', 'sympathizers', 'beneficiary', 'nurturance', 'hospitalises', 'alleviation', 'empathizes', 'consoles', 'rescuing', 'childcare', 'hospitalization', 'protecter', 'nurturers', 'protector', 'comforting', 'hugs', 'consolingly', 'condolence', 'comforted', 'rescues', 'rescuer', 'healed', 'nurtures', 'pitied', 'empathizing', 'lover', 'empathizers', 'humane', 'unharmed', 'nursing', 'altruist', 'warmhearted', 'feeding', 'empathized', 'hospitalising', 'loving', 'wounding', 'loved', 'lovingly', 'nursed', 'alleviating', 'feeder', 'merciful', 'unharmful', 'compassionate', 'nurturing', 'helper', 'hospitalise', 'heals', 'safeness', 'sharer', 'altruism', 'benevolence', 'protecters', 'rescued', 'empathy', 'hospitalizes', 'healers', 'childbirth', 'alleviate', 'hugging', 'pities', 'caringly', 'compassionately', 'hospitalized', 'solace', 'mommy', 'empathised', 'sympathizer', 'benefitted', 'condolences', 'parenting', 'nurturer', 'nurture', 'hospitable', 'alleviates', 'benefitting', 'hospitalize', 'mothering', 'nursemaid', 'helpers', 'motherhood', 'alleviated', 'gentleness', 'empathises', 'healthcare', 'hospitalizing', 'mothered', 'nursery', 'relievers', 'pityingly']"
1873,effort,loya_vic,4,33,"['hardwork', 'travail', 'perseverance', 'persistence']","['infidel', 'heretics', 'rebellions', 'cheat on', 'cheats on', 'backstabbed', 'treachery', 'betrayers', 'backstabs', 'infidels', 'apostate', 'deserting', 'deserters', 'outgroup', 'betrayer', 'deserter', 'heretic', 'treacherous', 'outgroups', 'cheating on', 'unfaithful', 'unpatriotic', 'apostates', 'backstabber', 'backstabbing', 'infidelity', 'heresies', 'against us', 'desertion', 'cheated on', 'backstab', 'heresy', 'backstabbers']"
1873,effort,loya_vir,4,73,"['hardwork', 'travail', 'perseverance', 'persistence']","['brothers in arms', 'kinship', 'familiarities', 'grouping', 'troopers', 'cults', 'herder', 'congregations', 'allied', 'tribalism', 'troupes', 'clique', 'comradery', 'ingroup', 'collectively', 'loyalties', 'one for all', 'companions', 'troupe', 'solidarity', 'team player', 'pledgers', 'herding', 'death do us part', 'undivided', 'comrade', 'hazing', 'insider', 'communion', 'congregates', 'commune', 'cohorts', 'companionships', 'pledging', 'cliques', 'enlists', 'unites', 'sacrificial', 'insiders', 'allegiances', 'bowed', 'herded', 'coalition', 'congregation', 'uniters', 'pledger', 'herders', 'player', 'congregate', 'old glory', 'joining', 'collective', 'coalitions', 'grouped', 'hazings', 'allegiant', 'comrades', 'communes', 'union jack', 'groups', 'homeland', 'us against them', 'kin', 'cohort', 'all for one', 'homelands', 'companionship', 'solidarities', 'collectives', 'hordes', 'troop', 'fellowships', 'trooper']"
1873,effort,auth_vic,4,89,"['hardwork', 'travail', 'perseverance', 'persistence']","['subverted', 'overpower', 'disrespecting', 'insubordinate', 'chaotic', 'permissiveness', 'raises hell', 'subversion', 'dishonours', 'dishonors', 'tumult', 'misruling', 'pandemonium', 'chaotically', 'uprisings', 'impolite', 'nonconforming', 'unathorized', 'disobedient', 'transgressed', 'treachery', 'disrespected', 'renegades', 'unlawfulness', 'dissidents', 'insurrectional', 'disarray', 'overpowering', 'transgresses', 'treacherous', 'disrespects', 'insurrectionist', 'transgress', 'heresies', 'raise hell', 'mutiny', 'heresy', 'rioting', 'insurrections', 'heretics', 'nonconformity', 'rioters', 'trouble maker', 'rabble rousing', 'apostate', 'mutinous', 'illegals', 'transgressing', 'misruled', 'sedition', 'tumultuous', 'apostates', 'heretical', 'renegade', 'dishonouring', 'anarchistic', 'anarchist', 'overpowered', 'rabble rouser', 'unruly', 'disordering', 'dissenter', 'bedlam', 'disobey', 'rabble rousers', 'riots', 'rioted', 'rebellions', 'mutinies', 'rebelling', 'dissident', 'refusers', 'anarchists', 'rioter', 'disarrayed', 'dissenters', 'dissention', 'heretic', 'nonconformist', 'rock the boat', 'mutinied', 'uprising', 'overthrew', 'raising hell', 'overthrowing', 'nonconformists', 'refuser', 'overpowers', 'lawlessness']"
1873,effort,auth_vir,4,146,"['hardwork', 'travail', 'perseverance', 'persistence']","['top dog', 'lead by example', 'covenants', 'bow before', 'acquiescent', 'elderly', 'captained', 'bishops', 'forbade', 'preside over', 'forbiddingly', 'bosses', 'bullying', 'oligarchy', 'reveres', 'bow down', 'supervises', 'patriarchs', 'submitters', 'slavishly', 'commandant', 'venerating', 'social order', 'supervisers', 'dictators', 'prime ministers', 'captaining', 'oligarchies', 'nobles', 'dominating', 'matriarchal', 'compliant', 'toe the line', 'coersion', 'dominate', 'bossed', 'bossing', 'lorded over', 'monarchs', 'protectors', 'hierarchical', 'prime ministerial', 'protector', 'emperor', 'coercing', 'head honcho', 'compliantly', 'patriarchy', 'underling', 'pope', 'superviser', 'dictator', 'take up arms', 'pecking order', 'obeys', 'mentored', 'ceo', 'lionizing', 'authorizer', 'bully', 'prime minister', 'institutional', 'underlings', 'dutiful', 'oligarch', 'slaving', 'elders', 'venerates', 'bullys', 'divine right', 'hierarchies', 'filial piety', 'worship', 'deferentially', 'arrests', 'patriarch', 'venerated', 'supervised', 'adheres', 'matriarch', 'do as one says', 'vice president', 'covenant', 'decreeing', 'worships', 'governs', 'polite', 'wear the crown', 'take orders', 'tradition', 'lionizes', 'acquiescing', 'governess', 'matriarchs', 'policing', 'allegiances', 'submitter', 'mentoring', 'corporate ladder', 'stature', 'obediently', 'managerial', 'coerces', 'subordinating', 'submissions', 'corporate ladders', 'allegiant', 'mentor', 'punisher', 'bullies', 'dominion', 'deferential', 'fathering', 'bullied', 'by the book', 'monarch', 'slaved', 'commandments', 'hierarchy', 'boss', 'queens', 'ranked', 'lionize', 'leadership', 'matriarchy', 'dean', 'queen', 'revere', 'controller', 'commandingly', 'controllers', 'punitive', 'acquiesces', 'chieftain', 'bowed', 'top gun', 'punishingly', 'ringleaders', 'in charge', 'castes', 'mentors', 'punishers', 'captains', 'oligarchs', 'ringleader', 'commandment']"
1873,effort,sanc_vic,4,281,"['hardwork', 'travail', 'perseverance', 'persistence']","['satanically', 'pus', 'addictions', 'nauseating', 'sinfulness', 'excrete', 'cursing', 'shits', 'desecration', 'phlegm', 'infested', 'tarnished', 'curses', 'alcoholism', 'impurity', 'desecrations', 'addicted', 'fecal', 'contaminant', 'parasites', 'cocksuckers', 'hedonists', 'contaminating', 'scuzzy', 'rubbish', 'shitting', 'deformed', 'waster', 'hedonist', 'barfing', 'pandemic', 'drugging', 'satanic', 'tarnish', 'deviants', 'mucky', 'dung', 'repugnance', 'stains', 'barfed', 'harlot', 'fornicating', 'fornicator', 'pathogenic', 'cum', 'manure', 'fornicate', 'repulsive', 'drugged', 'deform', 'spoiled', 'nauseous', 'shittier', 'shite', 'indecencies', 'cunts', 'festers', 'decays', 'rats', 'defiler', 'shit', 'sleazy', 'profanity', 'fuck', 'gonorrhea', 'abhors', 'damned', 'revolting', 'deviant', 'cunt', 'fucked', 'epidemic', 'degraders', 'fester', 'pestilence', 'sleaze', 'deflowered', 'slutty', 'godless', 'befouls', 'douchebag', 'debaucherous', 'hedonism', 'befoul', 'plaguing', 'whores', 'skanked', 'cockroach', 'moldy', 'sexual', 'tarnishes', 'degradingly', 'leper', 'necrophiliacs', 'impious', 'puke', 'dirtying', 'scatalogical', 'pukes', 'satan', 'infest', 'infects', 'hedonistic', 'spoiling', 'damns', 'defilers', 'debasing', 'damn', 'nauseated', 'fornicated', 'sexuality', 'sleaziness', 'infecting', 'excrement', 'nauseatingly', 'adulterer', 'harlots', 'trashiness', 'plagued', 'barfs', 'drug', 'vomitting', 'deforming', 'cockroaches', 'desecrating', 'vomit', 'deflower', 'fucking', 'whorehouses', 'infected', 'pandemics', 'crappy', 'slut', 'disgusts', 'alcoholics', 'repugnantly', 'incestuously', 'epidemics', 'deformities', 'fuckers', 'bm', 'skanky', 'necrophiliac', 'garbage', 'repulsiveness', 'fucker', 'desecrates', 'wasters', 'nausea', 'excretes', 'leprosy', 'pathogen', 'skank', 'mucking', 'perverse', 'heresies', 'gangrenous', 'sluttiness', 'shitty', 'heresy', 'sinful', 'desecrate', 'slutting', 'repulsed', 'fornicators', 'promiscuity', 'heretics', 'shat', 'addicts', 'perversely', 'germ', 'contaminates', 'barf', 'deprave', 'trashy', 'infectiousness', 'tarnishing', 'depravities', 'dirties', 'desecrated', 'apostate', 'festering', 'infect', 'profanities', 'puked', 'phlegmatically', 'pigsty', 'parasitically', 'repulses', 'whoring', 'vomitted', 'untouchables', 'trashed', 'defiles', 'viral', 'incest', 'viruses', 'hooker', 'befouling', 'excreted', 'sinfully', 'shitter', 'infests', 'divorcing', 'adulterous', 'indecently', 'parasitic', 'unclean', 'excreting', 'spoil', 'apostates', 'prostituting', 'heretical', 'indecency', 'disgustingly', 'contagiously', 'repulsing', 'fucks', 'risque', 'vermin', 'addiction', 'incestuous', 'sodomy', 'prostitute', 'addicting', 'impiety', 'sluts', 'debases', 'obscenity', 'sullies', 'fornication', 'skanks', 'necrophilia', 'tarnishment', 'debase', 'pathogens', 'skanking', 'infections', 'staining', 'lewdness', 'whorehouse', 'prostitution', 'scabies', 'feces', 'abhor', 'plagues', 'horrifying', 'lewd', 'grossness', 'decaying', 'puking', 'hookers', 'parasite', 'horrific', 'wastes', 'deforms', 'corpses', 'germs', 'heretic', 'sullied', 'deflowering', 'infesting', 'abhored', 'whored', 'vomits', 'damnation', 'infestation', 'muck', 'phlegmatic', 'adulterers', 'addict', 'cocksucker', 'festered', 'untouchable', 'uncleanliness', 'contaminants', 'trashing', 'divorces', 'scummy', 'scuzz', 'douchebags']"
1873,effort,sanc_vir,4,177,"['hardwork', 'travail', 'perseverance', 'persistence']","['beatification', 'faiths', 'torahs', 'christ', 'extermination', 'piety', 'koranic', 'deist', 'scripture', 'dignify', 'saintliness', 'monasticism', 'repents', 'unspoiled', 'gloriously', 'monastery', 'buddha', 'bibles', 'bloodiness', 'atoned', 'unchaste', 'atone', 'biblical', 'dignities', 'cleaner', 'soulful', 'nobles', 'nunneries', 'synagogues', 'catholics', 'buddhist', 'synagogue', 'prophets', 'beatifying', 'purifies', 'refinement', 'spirituality', 'orthodox', 'enshrine', 'hallows', 'atoning', 'bless', 'repented', 'consecrating', 'deify', 'exterminating', 'rabbis', 'pope', 'monk', 'pristine', 'imams', 'hallowing', 'yogi', 'heavenly', 'sanctifies', 'prayed', 'atonement', 'catholic', 'dignifies', 'spotlessly', 'cleanliness', 'prophetically', 'chastity', 'exterminates', 'wholesomely', 'deism', 'consecrates', 'exalting', 'monasteries', 'religions', 'organics', 'sterile', 'cleaners', 'nuns', 'mary', 'celibacy', 'worship', 'exterminated', 'refines', 'tabernacle', 'enshrined', 'higher power', 'sacrosanct', 'koran', 'christians', 'heavens', 'righteously', 'torah', 'catholicism', 'elevating', 'enshrining', 'virginity', 'talmudic', 'worships', 'cleaning', 'christian', 'deity', 'unadulterated', 'rabbinical', 'holy crosses', 'communion', 'lord', 'pureness', 'monastic', 'religiously', 'enshrines', 'celibate', 'buddhas', 'wholesomeness', 'stainless', 'theological', 'pastor', 'sanctifying', 'cathedral', 'prude', 'exterminators', 'untainted', 'allah', 'deists', 'atones', 'religiosity', 'abstinance', 'monks', 'purifiers', 'consecration', 'marries', 'divinity', 'spiritual', 'godliness', 'godesses', 'almighty', 'priestly', 'spotlessness', 'reverend', 'scriptures', 'hallow', 'exterminate', 'priest', 'sterility', 'eternally', 'consecrate', 'mosque', 'beatify', 'undefiled', 'purified', 'organically', 'holiness', 'gospels', 'devout', 'holy cross', 'virgins', 'yogis', 'orthodoxies', 'bible', 'purities', 'cleans', 'deification', 'immaculately', 'purifier', 'chaste', 'nunnery', 'shrine', 'exterminator', 'virginal', 'godess', 'exalts', 'rabbi', 'mosques', 'orthodoxy', 'jesus', 'dignifying', 'godly', 'theology', 'imam', 'cathedrals', 'repenting', 'immune']"
1873,effort,fare_vic,4,161,"['hardwork', 'travail', 'perseverance', 'persistence']","['taking advantage', 'injustices', 'trickster', 'distrusted', 'swindles', 'scammed', 'double crossing', 'swindler', 'blackmails', 'misleader', 'will rob', 'bilk', 'scammer', 'deceives', 'deceipt', 'be partial', 'distrusts', 'ripoff', 'biased', 'double crosser', 'scamming', 'imposters', 'economic disparity', 'robs', 'exploiting', 'freeloading', 'been partial', 'deceivingly', 'hoodwinking', 'chauvinists', 'exploit', 'disproportions', 'duplicitous', 'biases', 'bigots', 'false witness', 'false impressions', 'racists', 'exploitation', 'being partial', 'imposter', 'defrauder', 'deceivers', 'double crossed', 'biasing', 'stacking the deck', 'double crosses', 'sexist', 'segregating', 'hoodwink', 'go back on', 'stacked the deck', 'bamboozles', 'misleadingly', 'mooch', 'free rider', 'false advertisement', 'bilks', 'prejudicing', 'scams', 'pickpockets', 'con artist', 'behind their backs', 'segregate', 'pickpocketing', 'segregates', 'free riders', 'exploited', 'tricking', 'defrauds', 'tricked', 'disparity', 'hoodwinks', 'deceiver', 'am partial', 'plagiaristic', 'bamboozling', 'swindled', 'rips off', 'ripped off', 'deceiving', 'swindlers', 'untrustworthiness', 'stacked deck', 'false advertising', 'bamboozle', 'misleaders', 'mooched', 'inequities', 'pickpocket', 'fleecing', 'crooks', 'exploiter', 'betrayers', 'imbalanced', 'segregation', 'exploiters', 'bilking', 'double crossers', 'hoodwinked', 'bigot', 'misleading', 'duping', 'betrayer', 'con artists', 'racist', 'suckered', 'bilked', 'false impression', 'steals', 'connive', 'false advertised', 'misleads', 'false advertises', 'crooked', 'stacks the deck', 'swindling', 'double cross', 'moochers', 'moocher', 'scam', 'disproportionately', 'disadvantaged', 'distrustful', 'inequity', 'false advertise', 'false advertiser', 'racism', 'imbalances', 'cheaters', 'did rob', 'connived', 'freeloader', 'false advertisers', 'freeloaders', 'disproportioned', 'blackmailers', 'bigoted', 'freeload', 'thieving', 'connives', 'scammers', 'partiality', 'ripoffs', 'behind their back', 'liars', 'mooching', 'ripping off', 'defrauders', 'bamboozled', 'conniver', 'plagiarism', 'mooches', 'exploits', 'sexism', 'connivers', 'imbalance', 'sexists', 'was partial', 'cheater', 'pickpocketed']"
1873,effort,fare_vir,4,54,"['hardwork', 'travail', 'perseverance', 'persistence']","['objectiveness', 'pay back', 'retaliation', 'retaliate', 'repays', 'equities', 'payback', 'lawyered', 'square dealers', 'repaying', 'lawyering', 'sportsmanship', 'retaliated', 'retaliates', 'square dealer', 'egalitarian', 'equalizers', 'retaliating', 'do unto others', 'repayments', 'equalities', 'been objective', 'square deal', 'due processes', 'reparations', 'golden rule', 'refereeing', 'referees', 'eye for an eye', 'avengers', 'karma', 'revenger', 'proportional', 'square dealing', 'egalitarians', 'avenges', 'proportionality', 'refereed', 'due processing', 'tit for tat', 'retributions', 'unbias', 'level playing fields', 'being objective', 'due process', 'will share', 'level the playing field', 'square deals', 'fairplay', 'levels the playing field', 'civil rights', 'equalizer', 'civil right', 'level playing field']"
